 ,Area
2365,374
2366,379
2367,296
2368,436
2369,408
2370,365
2371,446
2372,282
2373,398
2374,368
2375,326
2376,377
2377,450
2378,267
2379,462
2380,248
2381,321
2382,425
2383,396
2384,394
2385,439
2386,275
2387,357
2388,398
2389,431
2390,419
2391,377
2392,361
2393,260
2394,394
2395,415
2396,280
2397,245
2398,406
2399,237
2400,367
2401,385
2402,382
2403,379
2404,413
2405,362
2406,330
2407,292
2408,472
2409,380
2410,375
2411,374
2412,376
2413,410
2414,471
2415,252
2416,270
2417,378
2418,420
2419,483
2420,356
2421,421
2422,303
2423,338
2424,291
2425,255
